timestamp,open,high,low,close,volume_btc,volume_usd
2021-01-01 00:00:00,29938.94,30052.24,29702.91,30000.0,4175.4731,125264194.06
2021-01-01 01:00:00,29994.0,30064.04,29863.15,30021.51,1792.6287,53817429.42
2021-01-01 02:00:00,30006.56,30201.19,29972.2,30060.43,3556.312,106904265.62
2021-01-01 03:00:00,30162.12,30239.51,30129.57,30152.13,347.9527,10491515.27
2021-01-01 04:00:00,30246.26,30362.56,29983.69,30138.02,2373.6903,71538320.11
2021-01-01 05:00:00,30054.23,30222.44,30019.36,30123.91,4695.1086,141435018.18
2021-01-01 06:00:00,30309.93,30521.26,30041.01,30219.2,1443.0383,43607466.27
2021-01-01 07:00:00,30194.65,30501.48,30209.37,30265.62,344.8569,10437307.06
2021-01-01 08:00:00,30160.33,30272.22,30225.67,30237.22,2956.4305,89394226.44
2021-01-01 09:00:00,30344.38,30598.0,30230.36,30270.04,1839.9888,55696544.64
2021-01-01 10:00:00,30325.65,30363.42,30201.28,30242.0,1960.449,59287903.61
2021-01-01 11:00:00,30291.02,30281.54,29953.59,30213.85,2954.0402,89252917.33
2021-01-01 12:00:00,30109.15,30317.07,30054.24,30228.47,3145.7864,95092313.16
2021-01-01 13:00:00,30070.93,30270.56,30052.35,30113.02,2242.8776,67539821.45
2021-01-01 14:00:00,30083.41,30087.79,29545.19,30009.32,2586.9913,77633836.73
2021-01-01 15:00:00,29979.32,29986.3,29879.57,29975.59,4966.9532,148887334.83
2021-01-01 16:00:00,29818.57,30115.25,29709.61,29914.93,4790.025,143293249.97
2021-01-01 17:00:00,29974.89,30160.76,29830.94,29933.73,3565.8537,106739317.17
2021-01-01 18:00:00,29815.35,30022.65,29789.95,29879.42,891.2497,26630026.17
2021-01-01 19:00:00,29955.55,30066.42,29714.15,29795.14,1863.8044,55532321.5
2021-01-01 20:00:00,30021.1,30213.3,29733.12,29882.61,4427.1323,132294271.97
2021-01-01 21:00:00,29923.25,29899.73,29758.13,29869.12,2175.473,64979464.64
2021-01-01 22:00:00,29995.13,29895.4,29827.01,29873.15,4781.3015,142832558.78
2021-01-01 23:00:00,29793.94,29838.24,29725.34,29788.15,2492.6787,74252294.14
2021-01-02 00:00:00,29824.07,29894.77,29592.49,29755.74,4322.6688,128624197.9
2021-01-02 01:00:00,29894.28,29966.98,29727.81,29762.34,273.3566,8135732.2
2021-01-02 02:00:00,29715.78,29972.07,29538.8,29693.91,2227.4021,66140268.53
2021-01-02 03:00:00,29693.48,29848.97,29361.27,29716.23,3531.2831,104936406.39
2021-01-02 04:00:00,29528.77,29692.84,29665.93,29680.55,4331.4662,128560300.18
2021-01-02 05:00:00,29655.84,29729.96,29429.28,29663.24,3087.2012,91576389.3
2021-01-02 06:00:00,29700.75,29689.82,29623.74,29627.56,948.9839,28116082.33
2021-01-02 07:00:00,29821.89,29913.85,29631.39,29737.52,4440.3914,132046249.86
2021-01-02 08:00:00,29781.72,29931.79,29478.14,29736.72,2916.5845,86729662.69
2021-01-02 09:00:00,29625.7,29743.09,29534.69,29673.88,629.2891,18673450.77
2021-01-02 10:00:00,29546.47,29830.97,29644.61,29722.74,2372.8492,70527578.35
2021-01-02 11:00:00,29606.2,29671.33,29636.09,29650.25,3524.8226,104511886.78
2021-01-02 12:00:00,29635.56,29795.1,29518.11,29662.64,2309.9772,68520026.5
2021-01-02 13:00:00,29518.87,29568.43,29402.05,29546.61,4366.8715,129026258.63
2021-01-02 14:00:00,29522.91,29647.56,29457.9,29468.23,2176.1021,64125877.01
2021-01-02 15:00:00,29655.45,29704.21,29461.86,29479.83,2958.9182,87228416.57
2021-01-02 16:00:00,29534.35,29574.89,29431.86,29523.41,1134.7351,33501245.98
2021-01-02 17:00:00,29514.32,29544.13,29522.94,29533.53,2612.1631,77146388.18
2021-01-02 18:00:00,29503.73,29921.2,29406.0,29526.7,1192.0008,35195845.96
2021-01-02 19:00:00,29519.93,29669.15,29499.62,29508.92,1203.417,35511537.07
2021-01-02 20:00:00,29348.68,29541.48,29295.84,29421.79,1471.5225,43294824.71
2021-01-02 21:00:00,29390.06,29518.75,29363.6,29379.46,316.5764,9300844.71
2021-01-02 22:00:00,29392.11,29456.15,29206.1,29352.41,900.2172,26423543.93
2021-01-02 23:00:00,29433.04,29534.85,29241.72,29414.53,2179.3671,64105062.05
2021-01-03 00:00:00,29475.16,29555.07,29209.23,29434.75,742.1964,21846369.44
2021-01-03 01:00:00,29369.31,29568.42,29323.92,29331.15,753.5853,22103520.6
2021-01-03 02:00:00,29194.15,29654.12,29237.49,29350.16,4842.866,142138913.69
2021-01-03 03:00:00,29383.6,29380.59,29322.91,29327.57,2192.7771,64308821.07
2021-01-03 04:00:00,29228.93,29499.89,29240.97,29287.89,2078.2902,60868737.45
2021-01-03 05:00:00,29227.34,29530.43,29009.44,29323.74,1411.9047,41402329.74
2021-01-03 06:00:00,29286.91,29468.52,29282.92,29384.27,2610.9911,76722067.23
